input,target,lang,plural
le professeur ignore le tigre,le professeur a ignoré le tigre,fr,False
de meisje helpt de vijand,de meisje heeft de vijand geholpen,nl,False
de paarden bekijkt de muizen,de paarden heeft de muizen bekeken,nl,True
les oiseaux cherche les professeurs,les oiseaux a cherché les professeurs,fr,True
le cheval repousse le ennemi,le cheval a repoussé le ennemi,fr,False
le fille aime le femme,le fille a aimé le femme,fr,False
les docteurs poursuit les éléphants,les docteurs a poursuivi les éléphants,fr,True
de aap valt de olifant,de aap heeft de olifant aangevallen,nl,False
le chat aime le cheval,le chat a aimé le cheval,fr,False
de leeuw eet de vijand,de leeuw heeft de vijand gegeten,nl,False
de meisjes draagt de vijanden,de meisjes heeft de vijanden gedragen,nl,True
de jongen mag de leraar,de jongen heeft de leraar gemogen,nl,False
de olifanten slaat de leraars,de olifanten heeft de leraars geslagen,nl,True
le tigre repousse le singe,le tigre a repoussé le singe,fr,False
les hommes poursuit les oiseaux,les hommes a poursuivi les oiseaux,fr,True
le chat observe le enfant,le chat a observé le enfant,fr,False
les chevaux poursuit les chiens,les chevaux a poursuivi les chiens,fr,True
le docteur suit le garçon,le docteur a suivi le garçon,fr,False
de dokters valt de vossen,de dokters heeft de vossen aangevallen,nl,True
de vossen ziet de vrienden,de vossen heeft de vrienden gezien,nl,True
de kind zoent de vos,de kind heeft de vos gezoend,nl,False
les hommes suit les chats,les hommes a suivi les chats,fr,True
le cheval voit le fille,le cheval a vu le fille,fr,False
le ami réconforte le chat,le ami a réconforté le chat,fr,False
de vogel zoekt de olifant,de vogel heeft de olifant gezocht,nl,False
de tijgers observeert de leraars,de tijgers heeft de leraars geobserveerd,nl,True
de kinderen slaat de olifanten,de kinderen heeft de olifanten geslagen,nl,True
le fille observe le souris,le fille a observé le souris,fr,False
de vrouw bekijkt de aap,de vrouw heeft de aap bekeken,nl,False
de vijanden verzorgt de vossen,de vijanden heeft de vossen verzorgd,nl,True
de hond bekijkt de man,de hond heeft de man bekeken,nl,False
de katten negeert de leeuwen,de katten heeft de leeuwen genegeerd,nl,True
le tigre ignore le chat,le tigre a ignoré le chat,fr,False
de hond observeert de olifant,de hond heeft de olifant geobserveerd,nl,False
le docteur voit le loup,le docteur a vu le loup,fr,False
les filles cherche les singes,les filles a cherché les singes,fr,True
le chien ignore le ami,le chien a ignoré le ami,fr,False
de honden ziet de meisjes,de honden heeft de meisjes gezien,nl,True
de vossen valt de olifanten,de vossen heeft de olifanten aangevallen,nl,True
de dokters jaagt de honden,de dokters heeft de honden gejaagd,nl,True
de vogels helpt de tijgers,de vogels heeft de tijgers geholpen,nl,True
le éléphant regarde le oiseau,le éléphant a regardé le oiseau,fr,False
de tijger draagt de vos,de tijger heeft de vos gedragen,nl,False
les singes porte les docteurs,les singes a porté les docteurs,fr,True
de dokters volgt de meisjes,de dokters heeft de meisjes gevolgd,nl,True
de leraar verzorgt de leeuw,de leraar heeft de leeuw verzorgd,nl,False
de leeuwen redt de meisjes,de leeuwen heeft de meisjes gered,nl,True
les hommes aime les loups,les hommes a aimé les loups,fr,True
de man mag de paard,de man heeft de paard gemogen,nl,False
de dokter observeert de aap,de dokter heeft de aap geobserveerd,nl,False
de leraars redt de vrouwen,de leraars heeft de vrouwen gered,nl,True
les renards embrasse les tigres,les renards a embrassé les tigres,fr,True
le professeur regarde le homme,le professeur a regardé le homme,fr,False
les garçons embrasse les professeurs,les garçons a embrassé les professeurs,fr,True
de kat valt de dokter,de kat heeft de dokter aangevallen,nl,False
de apen ziet de muizen,de apen heeft de muizen gezien,nl,True
le professeur réconforte le fille,le professeur a réconforté le fille,fr,False
de vijanden negeert de honden,de vijanden heeft de honden genegeerd,nl,True
de vrouw mag de hond,de vrouw heeft de hond gemogen,nl,False
de dokters eet de leraars,de dokters heeft de leraars gegeten,nl,True
les docteurs aide les chevaux,les docteurs a aidé les chevaux,fr,True
de apen volgt de kinderen,de apen heeft de kinderen gevolgd,nl,True
les professeurs attaque les chevaux,les professeurs a attaqué les chevaux,fr,True
les docteurs frappe les professeurs,les docteurs a frappé les professeurs,fr,True
les renards mange les enfants,les renards a mangé les enfants,fr,True
de honden slaat de paarden,de honden heeft de paarden geslagen,nl,True
de honden verzorgt de vogels,de honden heeft de vogels verzorgd,nl,True
de dokters observeert de leraars,de dokters heeft de leraars geobserveerd,nl,True
de leraar ziet de dokter,de leraar heeft de dokter gezien,nl,False
les chiens ignore les enfants,les chiens a ignoré les enfants,fr,True
de vijand eet de leraar,de vijand heeft de leraar gegeten,nl,False
de dokter jaagt de muis,de dokter heeft de muis gejaagd,nl,False
de man negeert de meisje,de man heeft de meisje genegeerd,nl,False
de vossen draagt de mannen,de vossen heeft de mannen gedragen,nl,True
de vogels zoekt de katten,de vogels heeft de katten gezocht,nl,True
le fille suit le chien,le fille a suivi le chien,fr,False
de meisjes volgt de vossen,de meisjes heeft de vossen gevolgd,nl,True
de kind redt de man,de kind heeft de man gered,nl,False
de dokters redt de vogels,de dokters heeft de vogels gered,nl,True
les enfants mange les chats,les enfants a mangé les chats,fr,True
de tijger achtervolgt de olifant,de tijger heeft de olifant achtervolgd,nl,False
de meisje redt de aap,de meisje heeft de aap gered,nl,False
les tigres repousse les chevaux,les tigres a repoussé les chevaux,fr,True
les enfants suit les loups,les enfants a suivi les loups,fr,True
de olifanten redt de muizen,de olifanten heeft de muizen gered,nl,True
de tijger mag de vijand,de tijger heeft de vijand gemogen,nl,False
de leraars helpt de vossen,de leraars heeft de vossen geholpen,nl,True
de man duwt de vrouw,de man heeft de vrouw geduwd,nl,False
de man valt de tijger,de man heeft de tijger aangevallen,nl,False
les garçons réconforte les professeurs,les garçons a réconforté les professeurs,fr,True
de tijgers slaat de vossen,de tijgers heeft de vossen geslagen,nl,True
de dokters volgt de vrienden,de dokters heeft de vrienden gevolgd,nl,True
de man helpt de olifant,de man heeft de olifant geholpen,nl,False
de dokter achtervolgt de man,de dokter heeft de man achtervolgd,nl,False
les singes repousse les chevaux,les singes a repoussé les chevaux,fr,True
de leeuw bekijkt de muis,de leeuw heeft de muis bekeken,nl,False
de vriend volgt de hond,de vriend heeft de hond gevolgd,nl,False
de honden zoent de vrouwen,de honden heeft de vrouwen gezoend,nl,True
les professeurs chasse les chevaux,les professeurs a chassé les chevaux,fr,True
de kind observeert de vos,de kind heeft de vos geobserveerd,nl,False
les loups mange les éléphants,les loups a mangé les éléphants,fr,True
le singe chasse le ennemi,le singe a chassé le ennemi,fr,False
de mannen bekijkt de tijgers,de mannen heeft de tijgers bekeken,nl,True
le singe soigne le chat,le singe a soigné le chat,fr,False
de man verzorgt de leraar,de man heeft de leraar verzorgd,nl,False
de tijger mag de aap,de tijger heeft de aap gemogen,nl,False
les filles repousse les éléphants,les filles a repoussé les éléphants,fr,True
les filles mange les amis,les filles a mangé les amis,fr,True
le garçon réconforte le éléphant,le garçon a réconforté le éléphant,fr,False
de leeuw verzorgt de olifant,de leeuw heeft de olifant verzorgd,nl,False
le garçon embrasse le éléphant,le garçon a embrassé le éléphant,fr,False
les femmes attaque les amis,les femmes a attaqué les amis,fr,True
le homme aide le éléphant,le homme a aidé le éléphant,fr,False
le oiseau soigne le docteur,le oiseau a soigné le docteur,fr,False
le singe mange le enfant,le singe a mangé le enfant,fr,False
de tijger volgt de jongen,de tijger heeft de jongen gevolgd,nl,False
le femme soigne le oiseau,le femme a soigné le oiseau,fr,False
de vriend duwt de vrouw,de vriend heeft de vrouw geduwd,nl,False
de paard achtervolgt de muis,de paard heeft de muis achtervolgd,nl,False
de leraar eet de meisje,de leraar heeft de meisje gegeten,nl,False
de leeuw ziet de vos,de leeuw heeft de vos gezien,nl,False
