input,target,lang,plural,subj,obj,verb
le chien mange le loup,le chien a mangé le loup,fr,False,chien,loup,mange
les chiens mangent les loups,les chiens a mangé les loups,fr,True,chien,loup,mange
le chien voit le loup,le chien a vu le loup,fr,False,chien,loup,voit
les chiens voient les loups,les chiens a vu les loups,fr,True,chien,loup,voit
le chien aime le loup,le chien a aimé le loup,fr,False,chien,loup,aime
les chiens aiment les loups,les chiens a aimé les loups,fr,True,chien,loup,aime
le chien cherche le loup,le chien a cherché le loup,fr,False,chien,loup,cherche
les chiens cherchent les loups,les chiens a cherché les loups,fr,True,chien,loup,cherche
le chien aide le loup,le chien a aidé le loup,fr,False,chien,loup,aide
les chiens aident les loups,les chiens a aidé les loups,fr,True,chien,loup,aide
le chien suit le loup,le chien a suivi le loup,fr,False,chien,loup,suit
les chiens suivent les loups,les chiens a suivi les loups,fr,True,chien,loup,suit
le chien frappe le loup,le chien a frappé le loup,fr,False,chien,loup,frappe
les chiens frappent les loups,les chiens a frappé les loups,fr,True,chien,loup,frappe
le chien porte le loup,le chien a porté le loup,fr,False,chien,loup,porte
les chiens portent les loups,les chiens a porté les loups,fr,True,chien,loup,porte
le chien embrasse le loup,le chien a embrassé le loup,fr,False,chien,loup,embrasse
les chiens embrassent les loups,les chiens a embrassé les loups,fr,True,chien,loup,embrasse
le chien soigne le loup,le chien a soigné le loup,fr,False,chien,loup,soigne
les chiens soignent les loups,les chiens a soigné les loups,fr,True,chien,loup,soigne
le chien poursuit le loup,le chien a poursuivi le loup,fr,False,chien,loup,poursuit
les chiens poursuivent les loups,les chiens a poursuivi les loups,fr,True,chien,loup,poursuit
le chien sauve le loup,le chien a sauvé le loup,fr,False,chien,loup,sauve
les chiens sauvent les loups,les chiens a sauvé les loups,fr,True,chien,loup,sauve
le chien réconforte le loup,le chien a réconforté le loup,fr,False,chien,loup,réconforte
les chiens réconfortent les loups,les chiens a réconforté les loups,fr,True,chien,loup,réconforte
le chien repousse le loup,le chien a repoussé le loup,fr,False,chien,loup,repousse
les chiens repoussent les loups,les chiens a repoussé les loups,fr,True,chien,loup,repousse
le chien regarde le loup,le chien a regardé le loup,fr,False,chien,loup,regarde
les chiens regardent les loups,les chiens a regardé les loups,fr,True,chien,loup,regarde
le chien ignore le loup,le chien a ignoré le loup,fr,False,chien,loup,ignore
les chiens ignorent les loups,les chiens a ignoré les loups,fr,True,chien,loup,ignore
le chien mange le chat,le chien a mangé le chat,fr,False,chien,chat,mange
les chiens mangent les chats,les chiens a mangé les chats,fr,True,chien,chat,mange
le chien voit le chat,le chien a vu le chat,fr,False,chien,chat,voit
les chiens voient les chats,les chiens a vu les chats,fr,True,chien,chat,voit
le chien aime le chat,le chien a aimé le chat,fr,False,chien,chat,aime
les chiens aiment les chats,les chiens a aimé les chats,fr,True,chien,chat,aime
le chien cherche le chat,le chien a cherché le chat,fr,False,chien,chat,cherche
les chiens cherchent les chats,les chiens a cherché les chats,fr,True,chien,chat,cherche
le chien aide le chat,le chien a aidé le chat,fr,False,chien,chat,aide
les chiens aident les chats,les chiens a aidé les chats,fr,True,chien,chat,aide
le chien suit le chat,le chien a suivi le chat,fr,False,chien,chat,suit
les chiens suivent les chats,les chiens a suivi les chats,fr,True,chien,chat,suit
le chien frappe le chat,le chien a frappé le chat,fr,False,chien,chat,frappe
les chiens frappent les chats,les chiens a frappé les chats,fr,True,chien,chat,frappe
le chien porte le chat,le chien a porté le chat,fr,False,chien,chat,porte
les chiens portent les chats,les chiens a porté les chats,fr,True,chien,chat,porte
le chien embrasse le chat,le chien a embrassé le chat,fr,False,chien,chat,embrasse
les chiens embrassent les chats,les chiens a embrassé les chats,fr,True,chien,chat,embrasse
le chien soigne le chat,le chien a soigné le chat,fr,False,chien,chat,soigne
les chiens soignent les chats,les chiens a soigné les chats,fr,True,chien,chat,soigne
le chien poursuit le chat,le chien a poursuivi le chat,fr,False,chien,chat,poursuit
les chiens poursuivent les chats,les chiens a poursuivi les chats,fr,True,chien,chat,poursuit
le chien sauve le chat,le chien a sauvé le chat,fr,False,chien,chat,sauve
les chiens sauvent les chats,les chiens a sauvé les chats,fr,True,chien,chat,sauve
le chien réconforte le chat,le chien a réconforté le chat,fr,False,chien,chat,réconforte
les chiens réconfortent les chats,les chiens a réconforté les chats,fr,True,chien,chat,réconforte
le chien repousse le chat,le chien a repoussé le chat,fr,False,chien,chat,repousse
les chiens repoussent les chats,les chiens a repoussé les chats,fr,True,chien,chat,repousse
le chien regarde le chat,le chien a regardé le chat,fr,False,chien,chat,regarde
les chiens regardent les chats,les chiens a regardé les chats,fr,True,chien,chat,regarde
le chien ignore le chat,le chien a ignoré le chat,fr,False,chien,chat,ignore
les chiens ignorent les chats,les chiens a ignoré les chats,fr,True,chien,chat,ignore
le chien mange le tigre,le chien a mangé le tigre,fr,False,chien,tigre,mange
les chiens mangent les tigres,les chiens a mangé les tigres,fr,True,chien,tigre,mange
le chien voit le tigre,le chien a vu le tigre,fr,False,chien,tigre,voit
les chiens voient les tigres,les chiens a vu les tigres,fr,True,chien,tigre,voit
le chien aime le tigre,le chien a aimé le tigre,fr,False,chien,tigre,aime
les chiens aiment les tigres,les chiens a aimé les tigres,fr,True,chien,tigre,aime
le chien cherche le tigre,le chien a cherché le tigre,fr,False,chien,tigre,cherche
les chiens cherchent les tigres,les chiens a cherché les tigres,fr,True,chien,tigre,cherche
le chien aide le tigre,le chien a aidé le tigre,fr,False,chien,tigre,aide
les chiens aident les tigres,les chiens a aidé les tigres,fr,True,chien,tigre,aide
le chien suit le tigre,le chien a suivi le tigre,fr,False,chien,tigre,suit
les chiens suivent les tigres,les chiens a suivi les tigres,fr,True,chien,tigre,suit
le chien frappe le tigre,le chien a frappé le tigre,fr,False,chien,tigre,frappe
les chiens frappent les tigres,les chiens a frappé les tigres,fr,True,chien,tigre,frappe
le chien porte le tigre,le chien a porté le tigre,fr,False,chien,tigre,porte
les chiens portent les tigres,les chiens a porté les tigres,fr,True,chien,tigre,porte
le chien embrasse le tigre,le chien a embrassé le tigre,fr,False,chien,tigre,embrasse
les chiens embrassent les tigres,les chiens a embrassé les tigres,fr,True,chien,tigre,embrasse
le chien soigne le tigre,le chien a soigné le tigre,fr,False,chien,tigre,soigne
les chiens soignent les tigres,les chiens a soigné les tigres,fr,True,chien,tigre,soigne
le chien poursuit le tigre,le chien a poursuivi le tigre,fr,False,chien,tigre,poursuit
les chiens poursuivent les tigres,les chiens a poursuivi les tigres,fr,True,chien,tigre,poursuit
le chien sauve le tigre,le chien a sauvé le tigre,fr,False,chien,tigre,sauve
les chiens sauvent les tigres,les chiens a sauvé les tigres,fr,True,chien,tigre,sauve
le chien réconforte le tigre,le chien a réconforté le tigre,fr,False,chien,tigre,réconforte
les chiens réconfortent les tigres,les chiens a réconforté les tigres,fr,True,chien,tigre,réconforte
le chien repousse le tigre,le chien a repoussé le tigre,fr,False,chien,tigre,repousse
les chiens repoussent les tigres,les chiens a repoussé les tigres,fr,True,chien,tigre,repousse
le chien regarde le tigre,le chien a regardé le tigre,fr,False,chien,tigre,regarde
les chiens regardent les tigres,les chiens a regardé les tigres,fr,True,chien,tigre,regarde
le chien ignore le tigre,le chien a ignoré le tigre,fr,False,chien,tigre,ignore
les chiens ignorent les tigres,les chiens a ignoré les tigres,fr,True,chien,tigre,ignore
le chien mange le singe,le chien a mangé le singe,fr,False,chien,singe,mange
les chiens mangent les singes,les chiens a mangé les singes,fr,True,chien,singe,mange
le chien voit le singe,le chien a vu le singe,fr,False,chien,singe,voit
les chiens voient les singes,les chiens a vu les singes,fr,True,chien,singe,voit
le chien aime le singe,le chien a aimé le singe,fr,False,chien,singe,aime
les chiens aiment les singes,les chiens a aimé les singes,fr,True,chien,singe,aime
le chien cherche le singe,le chien a cherché le singe,fr,False,chien,singe,cherche
les chiens cherchent les singes,les chiens a cherché les singes,fr,True,chien,singe,cherche
le chien aide le singe,le chien a aidé le singe,fr,False,chien,singe,aide
les chiens aident les singes,les chiens a aidé les singes,fr,True,chien,singe,aide
le chien suit le singe,le chien a suivi le singe,fr,False,chien,singe,suit
les chiens suivent les singes,les chiens a suivi les singes,fr,True,chien,singe,suit
le chien frappe le singe,le chien a frappé le singe,fr,False,chien,singe,frappe
les chiens frappent les singes,les chiens a frappé les singes,fr,True,chien,singe,frappe
le chien porte le singe,le chien a porté le singe,fr,False,chien,singe,porte
les chiens portent les singes,les chiens a porté les singes,fr,True,chien,singe,porte
le chien embrasse le singe,le chien a embrassé le singe,fr,False,chien,singe,embrasse
les chiens embrassent les singes,les chiens a embrassé les singes,fr,True,chien,singe,embrasse
le chien soigne le singe,le chien a soigné le singe,fr,False,chien,singe,soigne
les chiens soignent les singes,les chiens a soigné les singes,fr,True,chien,singe,soigne
le chien poursuit le singe,le chien a poursuivi le singe,fr,False,chien,singe,poursuit
les chiens poursuivent les singes,les chiens a poursuivi les singes,fr,True,chien,singe,poursuit
le chien sauve le singe,le chien a sauvé le singe,fr,False,chien,singe,sauve
les chiens sauvent les singes,les chiens a sauvé les singes,fr,True,chien,singe,sauve
le chien réconforte le singe,le chien a réconforté le singe,fr,False,chien,singe,réconforte
les chiens réconfortent les singes,les chiens a réconforté les singes,fr,True,chien,singe,réconforte
le chien repousse le singe,le chien a repoussé le singe,fr,False,chien,singe,repousse
les chiens repoussent les singes,les chiens a repoussé les singes,fr,True,chien,singe,repousse
le chien regarde le singe,le chien a regardé le singe,fr,False,chien,singe,regarde
les chiens regardent les singes,les chiens a regardé les singes,fr,True,chien,singe,regarde
le chien ignore le singe,le chien a ignoré le singe,fr,False,chien,singe,ignore
les chiens ignorent les singes,les chiens a ignoré les singes,fr,True,chien,singe,ignore
le chien mange le cheval,le chien a mangé le cheval,fr,False,chien,cheval,mange
les chiens mangent les chevaux,les chiens a mangé les chevaux,fr,True,chien,cheval,mange
le chien voit le cheval,le chien a vu le cheval,fr,False,chien,cheval,voit
les chiens voient les chevaux,les chiens a vu les chevaux,fr,True,chien,cheval,voit
le chien aime le cheval,le chien a aimé le cheval,fr,False,chien,cheval,aime
les chiens aiment les chevaux,les chiens a aimé les chevaux,fr,True,chien,cheval,aime
le chien cherche le cheval,le chien a cherché le cheval,fr,False,chien,cheval,cherche
les chiens cherchent les chevaux,les chiens a cherché les chevaux,fr,True,chien,cheval,cherche
le chien aide le cheval,le chien a aidé le cheval,fr,False,chien,cheval,aide
les chiens aident les chevaux,les chiens a aidé les chevaux,fr,True,chien,cheval,aide
le chien suit le cheval,le chien a suivi le cheval,fr,False,chien,cheval,suit
les chiens suivent les chevaux,les chiens a suivi les chevaux,fr,True,chien,cheval,suit
le chien frappe le cheval,le chien a frappé le cheval,fr,False,chien,cheval,frappe
les chiens frappent les chevaux,les chiens a frappé les chevaux,fr,True,chien,cheval,frappe
le chien porte le cheval,le chien a porté le cheval,fr,False,chien,cheval,porte
les chiens portent les chevaux,les chiens a porté les chevaux,fr,True,chien,cheval,porte
le chien embrasse le cheval,le chien a embrassé le cheval,fr,False,chien,cheval,embrasse
les chiens embrassent les chevaux,les chiens a embrassé les chevaux,fr,True,chien,cheval,embrasse
le chien soigne le cheval,le chien a soigné le cheval,fr,False,chien,cheval,soigne
les chiens soignent les chevaux,les chiens a soigné les chevaux,fr,True,chien,cheval,soigne
le chien poursuit le cheval,le chien a poursuivi le cheval,fr,False,chien,cheval,poursuit
les chiens poursuivent les chevaux,les chiens a poursuivi les chevaux,fr,True,chien,cheval,poursuit
le chien sauve le cheval,le chien a sauvé le cheval,fr,False,chien,cheval,sauve
les chiens sauvent les chevaux,les chiens a sauvé les chevaux,fr,True,chien,cheval,sauve
le chien réconforte le cheval,le chien a réconforté le cheval,fr,False,chien,cheval,réconforte
les chiens réconfortent les chevaux,les chiens a réconforté les chevaux,fr,True,chien,cheval,réconforte
le chien repousse le cheval,le chien a repoussé le cheval,fr,False,chien,cheval,repousse
les chiens repoussent les chevaux,les chiens a repoussé les chevaux,fr,True,chien,cheval,repousse
le chien regarde le cheval,le chien a regardé le cheval,fr,False,chien,cheval,regarde
les chiens regardent les chevaux,les chiens a regardé les chevaux,fr,True,chien,cheval,regarde
le chien ignore le cheval,le chien a ignoré le cheval,fr,False,chien,cheval,ignore
les chiens ignorent les chevaux,les chiens a ignoré les chevaux,fr,True,chien,cheval,ignore
le chien mange le souris,le chien a mangé le souris,fr,False,chien,souris,mange
les chiens mangent les souris,les chiens a mangé les souris,fr,True,chien,souris,mange
