input,target,lang,plural,subj,obj,verb
le chien mange le loup,le chien a mangé le loup,fr,False,chien,loup,mange
les chiens mangent les loups,les chiens a mangé les loups,fr,True,chien,loup,mange
le chien cherche le loup,le chien a cherché le loup,fr,False,chien,loup,cherche
les chiens cherchent les loups,les chiens a cherché les loups,fr,True,chien,loup,cherche
le chien aide le loup,le chien a aidé le loup,fr,False,chien,loup,aide
les chiens aident les loups,les chiens a aidé les loups,fr,True,chien,loup,aide
le chien suit le loup,le chien a suivi le loup,fr,False,chien,loup,suit
les chiens suivent les loups,les chiens a suivi les loups,fr,True,chien,loup,suit
le chien frappe le loup,le chien a frappé le loup,fr,False,chien,loup,frappe
les chiens frappent les loups,les chiens a frappé les loups,fr,True,chien,loup,frappe
le chien porte le loup,le chien a porté le loup,fr,False,chien,loup,porte
les chiens portent les loups,les chiens a porté les loups,fr,True,chien,loup,porte
le chien embrasse le loup,le chien a embrassé le loup,fr,False,chien,loup,embrasse
les chiens embrassent les loups,les chiens a embrassé les loups,fr,True,chien,loup,embrasse
le chien chasse le loup,le chien a chassé le loup,fr,False,chien,loup,chasse
les chiens chassent les loups,les chiens a chassé les loups,fr,True,chien,loup,chasse
le chien observe le loup,le chien a observé le loup,fr,False,chien,loup,observe
les chiens observent les loups,les chiens a observé les loups,fr,True,chien,loup,observe
le chien attaque le loup,le chien a attaqué le loup,fr,False,chien,loup,attaque
les chiens attaquent les loups,les chiens a attaqué les loups,fr,True,chien,loup,attaque
le chien sauve le loup,le chien a sauvé le loup,fr,False,chien,loup,sauve
les chiens sauvent les loups,les chiens a sauvé les loups,fr,True,chien,loup,sauve
le chien repousse le loup,le chien a repoussé le loup,fr,False,chien,loup,repousse
les chiens repoussent les loups,les chiens a repoussé les loups,fr,True,chien,loup,repousse
le chien regarde le loup,le chien a regardé le loup,fr,False,chien,loup,regarde
les chiens regardent les loups,les chiens a regardé les loups,fr,True,chien,loup,regarde
le chien ignore le loup,le chien a ignoré le loup,fr,False,chien,loup,ignore
les chiens ignorent les loups,les chiens a ignoré les loups,fr,True,chien,loup,ignore
le chien mange le chat,le chien a mangé le chat,fr,False,chien,chat,mange
les chiens mangent les chats,les chiens a mangé les chats,fr,True,chien,chat,mange
le chien cherche le chat,le chien a cherché le chat,fr,False,chien,chat,cherche
les chiens cherchent les chats,les chiens a cherché les chats,fr,True,chien,chat,cherche
le chien aide le chat,le chien a aidé le chat,fr,False,chien,chat,aide
les chiens aident les chats,les chiens a aidé les chats,fr,True,chien,chat,aide
le chien suit le chat,le chien a suivi le chat,fr,False,chien,chat,suit
les chiens suivent les chats,les chiens a suivi les chats,fr,True,chien,chat,suit
le chien frappe le chat,le chien a frappé le chat,fr,False,chien,chat,frappe
les chiens frappent les chats,les chiens a frappé les chats,fr,True,chien,chat,frappe
le chien porte le chat,le chien a porté le chat,fr,False,chien,chat,porte
les chiens portent les chats,les chiens a porté les chats,fr,True,chien,chat,porte
le chien embrasse le chat,le chien a embrassé le chat,fr,False,chien,chat,embrasse
les chiens embrassent les chats,les chiens a embrassé les chats,fr,True,chien,chat,embrasse
le chien chasse le chat,le chien a chassé le chat,fr,False,chien,chat,chasse
les chiens chassent les chats,les chiens a chassé les chats,fr,True,chien,chat,chasse
le chien observe le chat,le chien a observé le chat,fr,False,chien,chat,observe
les chiens observent les chats,les chiens a observé les chats,fr,True,chien,chat,observe
le chien attaque le chat,le chien a attaqué le chat,fr,False,chien,chat,attaque
les chiens attaquent les chats,les chiens a attaqué les chats,fr,True,chien,chat,attaque
le chien sauve le chat,le chien a sauvé le chat,fr,False,chien,chat,sauve
les chiens sauvent les chats,les chiens a sauvé les chats,fr,True,chien,chat,sauve
le chien repousse le chat,le chien a repoussé le chat,fr,False,chien,chat,repousse
les chiens repoussent les chats,les chiens a repoussé les chats,fr,True,chien,chat,repousse
le chien regarde le chat,le chien a regardé le chat,fr,False,chien,chat,regarde
les chiens regardent les chats,les chiens a regardé les chats,fr,True,chien,chat,regarde
le chien ignore le chat,le chien a ignoré le chat,fr,False,chien,chat,ignore
les chiens ignorent les chats,les chiens a ignoré les chats,fr,True,chien,chat,ignore
le chien mange le tigre,le chien a mangé le tigre,fr,False,chien,tigre,mange
les chiens mangent les tigres,les chiens a mangé les tigres,fr,True,chien,tigre,mange
le chien cherche le tigre,le chien a cherché le tigre,fr,False,chien,tigre,cherche
les chiens cherchent les tigres,les chiens a cherché les tigres,fr,True,chien,tigre,cherche
le chien aide le tigre,le chien a aidé le tigre,fr,False,chien,tigre,aide
les chiens aident les tigres,les chiens a aidé les tigres,fr,True,chien,tigre,aide
le chien suit le tigre,le chien a suivi le tigre,fr,False,chien,tigre,suit
les chiens suivent les tigres,les chiens a suivi les tigres,fr,True,chien,tigre,suit
le chien frappe le tigre,le chien a frappé le tigre,fr,False,chien,tigre,frappe
les chiens frappent les tigres,les chiens a frappé les tigres,fr,True,chien,tigre,frappe
le chien porte le tigre,le chien a porté le tigre,fr,False,chien,tigre,porte
les chiens portent les tigres,les chiens a porté les tigres,fr,True,chien,tigre,porte
le chien embrasse le tigre,le chien a embrassé le tigre,fr,False,chien,tigre,embrasse
les chiens embrassent les tigres,les chiens a embrassé les tigres,fr,True,chien,tigre,embrasse
le chien chasse le tigre,le chien a chassé le tigre,fr,False,chien,tigre,chasse
les chiens chassent les tigres,les chiens a chassé les tigres,fr,True,chien,tigre,chasse
le chien observe le tigre,le chien a observé le tigre,fr,False,chien,tigre,observe
les chiens observent les tigres,les chiens a observé les tigres,fr,True,chien,tigre,observe
le chien attaque le tigre,le chien a attaqué le tigre,fr,False,chien,tigre,attaque
les chiens attaquent les tigres,les chiens a attaqué les tigres,fr,True,chien,tigre,attaque
le chien sauve le tigre,le chien a sauvé le tigre,fr,False,chien,tigre,sauve
les chiens sauvent les tigres,les chiens a sauvé les tigres,fr,True,chien,tigre,sauve
le chien repousse le tigre,le chien a repoussé le tigre,fr,False,chien,tigre,repousse
les chiens repoussent les tigres,les chiens a repoussé les tigres,fr,True,chien,tigre,repousse
le chien regarde le tigre,le chien a regardé le tigre,fr,False,chien,tigre,regarde
les chiens regardent les tigres,les chiens a regardé les tigres,fr,True,chien,tigre,regarde
le chien ignore le tigre,le chien a ignoré le tigre,fr,False,chien,tigre,ignore
les chiens ignorent les tigres,les chiens a ignoré les tigres,fr,True,chien,tigre,ignore
le chien mange le singe,le chien a mangé le singe,fr,False,chien,singe,mange
les chiens mangent les singes,les chiens a mangé les singes,fr,True,chien,singe,mange
le chien cherche le singe,le chien a cherché le singe,fr,False,chien,singe,cherche
les chiens cherchent les singes,les chiens a cherché les singes,fr,True,chien,singe,cherche
le chien aide le singe,le chien a aidé le singe,fr,False,chien,singe,aide
les chiens aident les singes,les chiens a aidé les singes,fr,True,chien,singe,aide
le chien suit le singe,le chien a suivi le singe,fr,False,chien,singe,suit
les chiens suivent les singes,les chiens a suivi les singes,fr,True,chien,singe,suit
le chien frappe le singe,le chien a frappé le singe,fr,False,chien,singe,frappe
les chiens frappent les singes,les chiens a frappé les singes,fr,True,chien,singe,frappe
le chien porte le singe,le chien a porté le singe,fr,False,chien,singe,porte
les chiens portent les singes,les chiens a porté les singes,fr,True,chien,singe,porte
le chien embrasse le singe,le chien a embrassé le singe,fr,False,chien,singe,embrasse
les chiens embrassent les singes,les chiens a embrassé les singes,fr,True,chien,singe,embrasse
le chien chasse le singe,le chien a chassé le singe,fr,False,chien,singe,chasse
les chiens chassent les singes,les chiens a chassé les singes,fr,True,chien,singe,chasse
le chien observe le singe,le chien a observé le singe,fr,False,chien,singe,observe
les chiens observent les singes,les chiens a observé les singes,fr,True,chien,singe,observe
le chien attaque le singe,le chien a attaqué le singe,fr,False,chien,singe,attaque
les chiens attaquent les singes,les chiens a attaqué les singes,fr,True,chien,singe,attaque
le chien sauve le singe,le chien a sauvé le singe,fr,False,chien,singe,sauve
les chiens sauvent les singes,les chiens a sauvé les singes,fr,True,chien,singe,sauve
le chien repousse le singe,le chien a repoussé le singe,fr,False,chien,singe,repousse
les chiens repoussent les singes,les chiens a repoussé les singes,fr,True,chien,singe,repousse
le chien regarde le singe,le chien a regardé le singe,fr,False,chien,singe,regarde
les chiens regardent les singes,les chiens a regardé les singes,fr,True,chien,singe,regarde
le chien ignore le singe,le chien a ignoré le singe,fr,False,chien,singe,ignore
les chiens ignorent les singes,les chiens a ignoré les singes,fr,True,chien,singe,ignore
le chien mange le cheval,le chien a mangé le cheval,fr,False,chien,cheval,mange
les chiens mangent les chevaux,les chiens a mangé les chevaux,fr,True,chien,cheval,mange
le chien cherche le cheval,le chien a cherché le cheval,fr,False,chien,cheval,cherche
les chiens cherchent les chevaux,les chiens a cherché les chevaux,fr,True,chien,cheval,cherche
le chien aide le cheval,le chien a aidé le cheval,fr,False,chien,cheval,aide
les chiens aident les chevaux,les chiens a aidé les chevaux,fr,True,chien,cheval,aide
le chien suit le cheval,le chien a suivi le cheval,fr,False,chien,cheval,suit
les chiens suivent les chevaux,les chiens a suivi les chevaux,fr,True,chien,cheval,suit
le chien frappe le cheval,le chien a frappé le cheval,fr,False,chien,cheval,frappe
les chiens frappent les chevaux,les chiens a frappé les chevaux,fr,True,chien,cheval,frappe
le chien porte le cheval,le chien a porté le cheval,fr,False,chien,cheval,porte
les chiens portent les chevaux,les chiens a porté les chevaux,fr,True,chien,cheval,porte
le chien embrasse le cheval,le chien a embrassé le cheval,fr,False,chien,cheval,embrasse
les chiens embrassent les chevaux,les chiens a embrassé les chevaux,fr,True,chien,cheval,embrasse
le chien chasse le cheval,le chien a chassé le cheval,fr,False,chien,cheval,chasse
les chiens chassent les chevaux,les chiens a chassé les chevaux,fr,True,chien,cheval,chasse
le chien observe le cheval,le chien a observé le cheval,fr,False,chien,cheval,observe
les chiens observent les chevaux,les chiens a observé les chevaux,fr,True,chien,cheval,observe
le chien attaque le cheval,le chien a attaqué le cheval,fr,False,chien,cheval,attaque
les chiens attaquent les chevaux,les chiens a attaqué les chevaux,fr,True,chien,cheval,attaque
le chien sauve le cheval,le chien a sauvé le cheval,fr,False,chien,cheval,sauve
les chiens sauvent les chevaux,les chiens a sauvé les chevaux,fr,True,chien,cheval,sauve
le chien repousse le cheval,le chien a repoussé le cheval,fr,False,chien,cheval,repousse
les chiens repoussent les chevaux,les chiens a repoussé les chevaux,fr,True,chien,cheval,repousse
le chien regarde le cheval,le chien a regardé le cheval,fr,False,chien,cheval,regarde
les chiens regardent les chevaux,les chiens a regardé les chevaux,fr,True,chien,cheval,regarde
le chien ignore le cheval,le chien a ignoré le cheval,fr,False,chien,cheval,ignore
les chiens ignorent les chevaux,les chiens a ignoré les chevaux,fr,True,chien,cheval,ignore
le chien mange le souris,le chien a mangé le souris,fr,False,chien,souris,mange
les chiens mangent les souris,les chiens a mangé les souris,fr,True,chien,souris,mange
le chien cherche le souris,le chien a cherché le souris,fr,False,chien,souris,cherche
les chiens cherchent les souris,les chiens a cherché les souris,fr,True,chien,souris,cherche
le chien aide le souris,le chien a aidé le souris,fr,False,chien,souris,aide
les chiens aident les souris,les chiens a aidé les souris,fr,True,chien,souris,aide
le chien suit le souris,le chien a suivi le souris,fr,False,chien,souris,suit
les chiens suivent les souris,les chiens a suivi les souris,fr,True,chien,souris,suit
le chien frappe le souris,le chien a frappé le souris,fr,False,chien,souris,frappe
les chiens frappent les souris,les chiens a frappé les souris,fr,True,chien,souris,frappe
le chien porte le souris,le chien a porté le souris,fr,False,chien,souris,porte
les chiens portent les souris,les chiens a porté les souris,fr,True,chien,souris,porte
le chien embrasse le souris,le chien a embrassé le souris,fr,False,chien,souris,embrasse
les chiens embrassent les souris,les chiens a embrassé les souris,fr,True,chien,souris,embrasse
le chien chasse le souris,le chien a chassé le souris,fr,False,chien,souris,chasse
les chiens chassent les souris,les chiens a chassé les souris,fr,True,chien,souris,chasse
le chien observe le souris,le chien a observé le souris,fr,False,chien,souris,observe
les chiens observent les souris,les chiens a observé les souris,fr,True,chien,souris,observe
le chien attaque le souris,le chien a attaqué le souris,fr,False,chien,souris,attaque
les chiens attaquent les souris,les chiens a attaqué les souris,fr,True,chien,souris,attaque
le chien sauve le souris,le chien a sauvé le souris,fr,False,chien,souris,sauve
les chiens sauvent les souris,les chiens a sauvé les souris,fr,True,chien,souris,sauve
le chien repousse le souris,le chien a repoussé le souris,fr,False,chien,souris,repousse
les chiens repoussent les souris,les chiens a repoussé les souris,fr,True,chien,souris,repousse
